,Tipo,Calendario,Clasificacion,Anio_prueba,Nombre_Colegio,Municipio,Departamento
0,NO OFICIAL,B,A+,2018,AMERICAN SCHOOL,PUERTO COLOMBIA,ATLÁNTICO
1,NO OFICIAL,B,A+,2018,INSTITUCION EDUCATIVA ASPAEN GIMNASIO ALTAMAR BILINGUE,PUERTO COLOMBIA,ATLÁNTICO
2,NO OFICIAL,B,A+,2018,COLEGIO ALTAMIRA,PUERTO COLOMBIA,ATLÁNTICO
3,NO OFICIAL,B,A+,2018,COLEGIO BRITANICO INTERNACIONAL,PUERTO COLOMBIA,ATLÁNTICO
4,NO OFICIAL,B,A+,2018,COLEGIO SAN JOSÉ,PUERTO COLOMBIA,ATLÁNTICO
5,NO OFICIAL,B,A+,2018,COLEGIO ANGLOCOLOMBIA,PUERTO COLOMBIA,ATLÁNTICO
6,NO OFICIAL,B,A+,2018,INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO,PUERTO COLOMBIA,ATLÁNTICO
7,NO OFICIAL,B,A+,2018,INTERNATIONAL BERCKLEY SCHOOL,PUERTO COLOMBIA,ATLÁNTICO
8,NO OFICIAL,B,A+,2018,ASPAEN GIMNASIO LOS CORALES,PUERTO COLOMBIA,ATLÁNTICO
9,NO OFICIAL,B,A+,2018,COLEGIO KARL C PARRISH,PUERTO COLOMBIA,ATLÁNTICO
10,NO OFICIAL,B,A+,2018,COLEGIO CRISTIANO J. VENDER MURPHY,PUERTO COLOMBIA,ATLÁNTICO
11,NO OFICIAL,A,D,2018,INSTITUTO SAGRADO CORAZON DE JESUS,CAMPO DE LA CRUZ,ATLÁNTICO
12,NO OFICIAL,A,B,2018,COLEGIO RETOS,BARRANQUILLA,ATLÁNTICO
13,NO OFICIAL,B,A+,2018,COL ITALIANO LEONARDO DA VINCI,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
14,NO OFICIAL,B,A+,2018,COL ANGLO COLOMBIANO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
15,NO OFICIAL,B,A+,2018,GIMN ALESSANDRO VOLTA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
16,NO OFICIAL,B,A+,2018,LIC FRANCES LOUIS PASTEUR,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
17,NO OFICIAL,B,A+,2018,COL. INTERNACIONAL DE EDUCACIÓN INTEGRAL - CIEDI LTDA.,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
18,NO OFICIAL,B,A+,2018,GIMN LA MONTAÑA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
19,NO OFICIAL,B,A+,2018,GIMN FONTANA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
20,NO OFICIAL,B,A+,2018,CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
21,NO OFICIAL,B,A+,2018,COLEGIO VICTORIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
22,NO OFICIAL,B,A+,2018,COL BILING RICHMOND,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
23,NO OFICIAL,B,A+,2018,COL BILING CLERMONT,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
24,NO OFICIAL,B,A+,2018,GIMNASIO YACARD,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
25,NO OFICIAL,B,A+,2018,COL COLOMBO GALES,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
26,NO OFICIAL,B,A+,2018,GIMN DEL NORTE,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
27,NO OFICIAL,B,A+,2018,COL SAN MATEO APOSTOL,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
28,NO OFICIAL,B,A+,2018,COL HELVETIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
29,NO OFICIAL,B,A+,2018,COL ARCA INTERNACIONAL BILINGÜE,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
30,NO OFICIAL,B,A+,2018,COL LA COLINA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
31,NO OFICIAL,B,B,2018,GIMNASIO CAMPESTRE DE GUILFORD,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
32,NO OFICIAL,B,A+,2018,COL ABRAHAM LINCOLN,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
33,NO OFICIAL,B,A+,2018,ASPAEN GIMNASIO IRAGUA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
34,NO OFICIAL,B,A+,2018,COL SAN BARTOLOME LA MERCED,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
35,NO OFICIAL,B,A+,2018,COL LOS NOGALES,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
36,NO OFICIAL,B,A+,2018,COL ANDINO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
37,NO OFICIAL,B,A+,2018,COL CALATRAVA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
38,NO OFICIAL,B,A+,2018,COL BILING BUCKINGHAM,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
39,NO OFICIAL,A,C,2018,COL ITEC,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
40,NO OFICIAL,B,A+,2018,COL SANTA MARIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
41,NO OFICIAL,B,A+,2018,GIMN LA ARBOLEDA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
42,NO OFICIAL,B,A+,2018,COL SAN TARSICIO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
43,NO OFICIAL,B,A+,2018,GIMN FEMENINO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
44,NO OFICIAL,B,A+,2018,COL MODERNO  JOHN DEWEY,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
45,NO OFICIAL,B,A+,2018,COLEGIO KNIGHTSBRIDGE SCHOOLS INTERNATIONAL,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
46,NO OFICIAL,B,A+,2018,GIMN VERMONT,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
47,NO OFICIAL,B,A+,2018,COL SANTA FRANCISCA ROMANA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
48,NO OFICIAL,B,A+,2018,COLEGIO ANEXO SAN FRANCISCO DE ASIS,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
49,NO OFICIAL,B,A+,2018,COL SAN JORGE DE INGLATERRA,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
50,NO OFICIAL,B,A+,2018,FUND NUEVO MARYMOUNT,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
51,NO OFICIAL,B,A+,2018,COL SAN CARLOS,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
52,NO OFICIAL,B,A+,2018,GIMN DE LOS CERROS,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
53,NO OFICIAL,B,A+,2018,EL CAMINO ACADEMY,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
54,NO OFICIAL,B,A+,2018,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),"BOGOTÁ, D.C.","BOGOTÁ, D.C."
55,NO OFICIAL,B,A+,2018,COL  MONTESSORI BRITISH SCHOOL,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
56,NO OFICIAL,B,A+,2018,GIMN CAMPESTRE,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
57,NO OFICIAL,B,A+,2018,GIMNASIO LOS PORTALES COLEGIO BILINGÜE,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
58,NO OFICIAL,B,A+,2018,COL COLOMBO HEBREO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
59,NO OFICIAL,A,C,2018,BACHILLERATO DE ADULTOS COLSUBSIDIO,"BOGOTÁ, D.C.","BOGOTÁ, D.C."
60,NO OFICIAL,B,A+,2018,COLEGIO JORGE WASHINGTON,CARTAGENA DE INDIAS,BOLÍVAR
61,NO OFICIAL,B,A+,2018,ASPAEN GIMNASIO CARTAGENA DE INDIAS,CARTAGENA DE INDIAS,BOLÍVAR
62,NO OFICIAL,B,A+,2018,COLEGIO BRITANICO DE CARTAGENA,CARTAGENA DE INDIAS,BOLÍVAR
63,NO OFICIAL,B,A+,2018,ASPAEN GIMNASIO CARTAGENA,CARTAGENA DE INDIAS,BOLÍVAR
64,NO OFICIAL,A,C,2018,COLEGIO BOSTON,DUITAMA,BOYACÁ
65,NO OFICIAL,A,B,2018,INSTITUCION EDUCATIVA URIBESCO,TUNJA,BOYACÁ
66,NO OFICIAL,B,A+,2018,ASPAEN GIMNASIO HORIZONTES,VILLAMARÍA,CALDAS
67,NO OFICIAL,B,A,2018,COL. ANGLOHISPANO,VILLAMARÍA,CALDAS
68,NO OFICIAL,B,A+,2018,COL. SAN LUIS GONZAGA,MANIZALES,CALDAS
69,NO OFICIAL,B,A+,2018,ASPAEN-GIMNASIO LOS CEREZOS,MANIZALES,CALDAS
70,NO OFICIAL,B,B,2018,COLEGIO COMFACAUCA,PUERTO TEJADA,CAUCA
71,NO OFICIAL,B,B,2018,FUNDACION LICEO COMERCIAL COMERCIAL CIUDAD EL BORDO,PATÍA,CAUCA
72,NO OFICIAL,B,A+,2018,COLEGIO BRITANICO DE MONTERIA MS S.A.S,MONTERÍA,CÓRDOBA
73,NO OFICIAL,A,B,2018,COLEGIO CAMPESTRE PRINCIPADO DE MONACO,TENJO,CUNDINAMARCA
74,NO OFICIAL,B,A+,2018,GIMNASIO CAMPESTRE SAN RAFAEL,TENJO,CUNDINAMARCA
75,NO OFICIAL,B,A+,2018,COL CAMPOALEGRE LTDA,SOPÓ,CUNDINAMARCA
76,NO OFICIAL,B,A+,2018,COLEGIO TILATA,LA CALERA,CUNDINAMARCA
77,NO OFICIAL,B,A+,2018,COLEGIO TIERRA NUEVA,LA CALERA,CUNDINAMARCA
78,NO OFICIAL,B,A+,2018,COLEGIO EKIRAYA EDUCACION MONTESSORI,LA CALERA,CUNDINAMARCA
79,NO OFICIAL,B,A+,2018,NUEVO GIMNASIO CRISTIANO,COTA,CUNDINAMARCA
80,NO OFICIAL,B,A+,2018,COL JOSE MAX LEON,COTA,CUNDINAMARCA
81,NO OFICIAL,B,A+,2018,COL NUEVO REINO DE GRANADA,COTA,CUNDINAMARCA
82,NO OFICIAL,B,A,2018,COLEGIO AGUSTIN NIETO CABALLERO,CHÍA,CUNDINAMARCA
83,NO OFICIAL,B,A+,2018,COLEGIO CAMPESTRE SAN DIEGO,CHÍA,CUNDINAMARCA
84,NO OFICIAL,B,A+,2018,GIMN BRITANICO,CHÍA,CUNDINAMARCA
85,NO OFICIAL,B,A+,2018,COL CUMBRES,CHÍA,CUNDINAMARCA
86,NO OFICIAL,B,A+,2018,COL ROCHESTER,CHÍA,CUNDINAMARCA
87,NO OFICIAL,B,A+,2018,COL LOS TREBOLES,CHÍA,CUNDINAMARCA
88,NO OFICIAL,B,A+,2018,GIMN LOS CAOBOS,CHÍA,CUNDINAMARCA
89,NO OFICIAL,B,A+,2018,FUND COL SAN JUAN DEL CAMINO,CHÍA,CUNDINAMARCA
90,NO OFICIAL,B,A+,2018,COLEGIO TRINIDAD DEL MONTE SCHOOL OF THE SACRED HEART,CHÍA,CUNDINAMARCA
91,NO OFICIAL,B,A+,2018,GIMNASIO CAMPESTRE LOS CEREZOS,CAJICÁ,CUNDINAMARCA
92,NO OFICIAL,B,A+,2018,COLEGIO DWIGHT DAVID EISENHOWER,CAJICÁ,CUNDINAMARCA
93,NO OFICIAL,B,A+,2018,COL MAYOR DE LOS ANDES,CAJICÁ,CUNDINAMARCA
94,NO OFICIAL,B,A+,2018,CORPÓRACION GIMNASIO ALEMÁN FRIENDRICH VON SCHILLER,CAJICÁ,CUNDINAMARCA
95,NO OFICIAL,B,A+,2018,FUNDACION COLEGIO CARDENAL JHON HENRY NEWMAN                         ,CAJICÁ,CUNDINAMARCA
96,OFICIAL,A,D,2018,IE MUNICIPAL PALMARITO,PITALITO,HUILA
97,NO OFICIAL,B,A,2018,COLEGIO COLOMBO ARABE DAR EL ARKAM,MAICAO,LA GUAJIRA
98,NO OFICIAL,B,A+,2018,COLEGIO ALBANIA,ALBANIA,LA GUAJIRA
99,NO OFICIAL,B,A+,2018,COLEGIO BURECHE,SANTA MARTA,MAGDALENA
100,NO OFICIAL,B,A+,2018,COLEGIO BILINGUE  SANTA MARTA,SANTA MARTA,MAGDALENA
101,NO OFICIAL,B,A+,2018,COLEGIO DEL SAGRADO CORAZON DE JESUS,PASTO,NARIÑO
102,NO OFICIAL,B,A+,2018,COL SAN FRANCISCO JAVIER,PASTO,NARIÑO
103,NO OFICIAL,B,A,2018,COLEGIO MI PEQUEÑO MUNDO GIMNASIO LOS ANDES,PASTO,NARIÑO
104,NO OFICIAL,B,A+,2018,COL COMFAMILIAR DE NARIÑO SIGLO XXI,PASTO,NARIÑO
105,NO OFICIAL,B,A+,2018,GIMN INGLES,SALENTO,QUINDÍO
106,NO OFICIAL,B,A+,2018,LIC TALLER SAN MIGUEL,PEREIRA,RISARALDA
107,NO OFICIAL,B,A+,2018,LIC CAMPESTRE DE PEREIRA,PEREIRA,RISARALDA
108,NO OFICIAL,B,A+,2018,COL FUNDACION LIC INGLES,PEREIRA,RISARALDA
109,NO OFICIAL,B,A+,2018,COL LIC FRANCES DE PEREIRA,PEREIRA,RISARALDA
110,NO OFICIAL,B,A+,2018,COL LA QUINTA DEL PUENTE,FLORIDABLANCA,SANTANDER
111,NO OFICIAL,B,A+,2018,COL NUEVO CAMBRIDGE,FLORIDABLANCA,SANTANDER
112,NO OFICIAL,B,B,2018,COL NUESTRA SEÑORA DE LA ESPERANZA,YUMBO,VALLE DEL CAUCA
113,NO OFICIAL,B,A+,2018,COLEGIO INTERNACIONAL LOS CAÑAVERALES,YUMBO,VALLE DEL CAUCA
114,NO OFICIAL,B,A,2018,COL COMFANDI - YUMBO,YUMBO,VALLE DEL CAUCA
115,NO OFICIAL,B,A,2018,INST EDUC SAN FRANCISCO JAVIER,YUMBO,VALLE DEL CAUCA
116,NO OFICIAL,B,A,2018,INST EDUC  GAIA,YUMBO,VALLE DEL CAUCA
117,NO OFICIAL,B,A+,2018,COL JEFFERSON,YUMBO,VALLE DEL CAUCA
118,NO OFICIAL,B,A,2018,LIC CAMPESTRE LA MISION,YUMBO,VALLE DEL CAUCA
119,NO OFICIAL,B,A+,2018,COL GIMNASIO NORTE DEL VALLE,ROLDANILLO,VALLE DEL CAUCA
120,NO OFICIAL,B,D,2018,CENT DOCENTE PARA ADULTOS EDIMA,ROLDANILLO,VALLE DEL CAUCA
121,NO OFICIAL,B,C,2018,INST NUEVA JERUSALEN,PRADERA,VALLE DEL CAUCA
122,NO OFICIAL,B,A,2018,COLEGIO COMERCIAL DE PALMIRA O.E.T.H,PALMIRA,VALLE DEL CAUCA
123,NO OFICIAL,B,C,2018,COL COLOMBIA,PALMIRA,VALLE DEL CAUCA
124,NO OFICIAL,B,A+,2018,COL MILIT GENERAL AGUSTIN CODAZZI,PALMIRA,VALLE DEL CAUCA
125,NO OFICIAL,B,A+,2018,LIC MONTESSORI,PALMIRA,VALLE DEL CAUCA
126,NO OFICIAL,B,D,2018,COL TERESIANO DE PALMIRA,PALMIRA,VALLE DEL CAUCA
127,NO OFICIAL,B,A+,2018,COLEGIO BILINGÜE SAN JOSE CAMPESTRE,PALMIRA,VALLE DEL CAUCA
128,NO OFICIAL,B,A,2018,COLEGIO COMFANDI REGIONAL PALMIRA,PALMIRA,VALLE DEL CAUCA
129,NO OFICIAL,B,A+,2018,LIC LA ENSEÑANZA,PALMIRA,VALLE DEL CAUCA
130,NO OFICIAL,B,B,2018,LICEO TECNICO COMERCIAL AVANCEMOS,PALMIRA,VALLE DEL CAUCA
131,NO OFICIAL,B,A+,2018,COL AGUSTINIANO CAMPESTRE,PALMIRA,VALLE DEL CAUCA
132,NO OFICIAL,B,A,2018,LIC MADRE ELISA,PALMIRA,VALLE DEL CAUCA
133,NO OFICIAL,B,A,2018,COL SANTA INES CAMPESTRE,PALMIRA,VALLE DEL CAUCA
134,NO OFICIAL,B,A+,2018,SEM DE CRISTO SACERDOTE,PALMIRA,VALLE DEL CAUCA
135,NO OFICIAL,B,A,2018,LIC LOS ANGELES,PALMIRA,VALLE DEL CAUCA
136,NO OFICIAL,B,A+,2018,COLEGIO SAGRADO CORAZON DE JESUS - HERMANAS BETHLEMITAS,PALMIRA,VALLE DEL CAUCA
137,NO OFICIAL,B,B,2018,COLEGIO MILITAR ALMIRANTE COLON,PALMIRA,VALLE DEL CAUCA
138,NO OFICIAL,B,A,2018,COL SAN JOSE DEL AVILA,PALMIRA,VALLE DEL CAUCA
139,NO OFICIAL,B,B,2018,COL LOS ALPES DE LLANO GRANDE,PALMIRA,VALLE DEL CAUCA
140,NO OFICIAL,B,C,2018,COLEGIO SANTA TERESITA DE ROZO,PALMIRA,VALLE DEL CAUCA
141,NO OFICIAL,B,A,2018,LIC CAMPESTRE CRECER,PALMIRA,VALLE DEL CAUCA
142,NO OFICIAL,B,B,2018,INST EDUC NUESTRA SEÑORA DEL ROSARIO,JAMUNDÍ,VALLE DEL CAUCA
143,NO OFICIAL,B,A+,2018,ALAS COLEGIO,JAMUNDÍ,VALLE DEL CAUCA
144,NO OFICIAL,B,B,2018,COL COMFANDI TERRANOVA,JAMUNDÍ,VALLE DEL CAUCA
145,NO OFICIAL,B,A+,2018,INSTITUTO GABRIELA MISTRAL,EL CERRITO,VALLE DEL CAUCA
